"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","0.8","2.4","177.0","63","517","0","0"
"2","1.8","5.7","177.0","63","517","0","0"
"3","3.4","10.9","153.9","96","630","43","0"
"4","4.9","16.6","148.9","106","664","40","0"
"5","6.5","22.6","135.2","142","787","37","0"
"6","8.5","31.0","124.6","181","922","38","0"
"7","10.1","37.4","122.2","192","960","37","0"
"8","11.6","43.8","122.2","192","960","37","0"
"9","13.2","50.4","120.1","202","995","37","0"
"10","14.7","57.0","117.7","215","1038","37","0"
"11","16.3","63.7","116.2","223","1067","37","0"
"12","18.3","72.9","114.2","235","1108","36","0"
"13","19.9","79.6","114.7","232","1098","36","0"
"14","21.4","86.3","114.7","232","1098","36","0"
"15","23.0","93.0","115.0","230","1092","34","0"
"16","24.5","99.8","115.1","230","1089","37","0"
"17","26.6","108.9","114.7","232","1098","36","0"
"18","28.1","115.6","114.7","232","1098","36","0"
"19","29.7","122.4","115.0","230","1092","36","0"
"20","31.2","129.2","115.0","230","1092","36","0"
"21","32.8","135.9","114.4","234","1104","38","0"
"22","34.8","144.9","115.6","227","1079","37","0"
"23","36.4","151.6","115.7","226","1077","36","0"
"24","37.9","158.3","115.7","226","1077","36","0"
"25","39.5","165.0","115.8","225","1075","37","0"
"26","41.0","171.7","115.0","230","1092","36","0"
"27","43.1","180.7","116.5","221","1061","36","0"
"28","44.6","187.4","115.7","226","1077","36","0"
"29","46.2","194.2","115.7","226","1077","36","0"
"30","47.7","200.8","115.2","229","1087","38","0"
"31","49.3","207.5","115.7","226","1077","38","0"
"32","50.8","214.2","116.3","222","1065","38","0"
"33","52.4","220.8","116.2","223","1067","37","0"
"34","53.9","227.6","115.8","225","1075","38","0"
"35","55.5","234.5","114.3","234","1106","38","0"
"36","57.0","241.3","113.4","240","1126","37","0"
"37","58.5","248.1","113.6","239","1121","39","0"
"38","60.6","257.3","114.3","234","1106","37","0"
"39","62.2","264.0","114.9","231","1094","38","0"
"40","63.7","270.8","114.9","231","1094","38","0"
"41","65.3","277.5","115.4","228","1083","38","0"
"42","66.8","284.2","115.4","228","1083","38","0"
"43","68.3","290.9","115.1","230","1089","38","0"
"44","69.9","297.6","115.3","228","1085","37","0"
"45","71.4","304.3","115.7","226","1077","38","0"
"46","73.0","311.0","115.9","225","1073","38","0"
"47","74.5","317.7","116.0","224","1071","38","0"
"48","76.1","324.4","115.8","225","1075","36","0"
"49","77.6","331.2","115.3","228","1085","37","0"
"50","79.7","340.2","115.3","228","1085","37","0"
"51","81.2","346.9","116.7","220","1057","38","0"
"52","82.8","353.5","116.7","220","1057","38","0"
"53","84.3","360.1","116.9","219","1054","36","0"
"54","85.9","366.7","117.1","218","1050","38","0"
"55","87.4","373.4","116.8","220","1055","37","0"
"56","89.0","380.0","116.5","221","1061","38","0"
"57","90.5","386.5","117.7","215","1038","38","0"
"58","92.1","393.2","117.4","216","1044","38","0"
"59","93.6","399.9","116.8","220","1055","38","0"
"60","95.7","408.9","115.5","227","1081","37","0"
"61","97.2","415.6","116.3","222","1065","36","0"
"62","98.8","422.3","116.3","222","1065","36","0"
"63","100.3","428.9","116.7","220","1057","38","0"
"64","101.9","435.5","116.3","222","1065","37","0"
"65","103.4","442.2","116.3","222","1065","37","0"
"66","105.0","448.9","116.8","220","1055","40","0"
"67","106.5","455.7","115.4","228","1083","37","0"
"68","108.0","462.4","114.6","233","1100","38","0"
"69","110.1","471.4","116.5","221","1061","37","0"
"70","111.6","478.1","115.1","230","1089","39","0"
"71","113.2","484.9","115.3","228","1085","39","0"
"72","114.7","491.5","116.2","223","1067","37","0"
"73","0.4","1.5","0.0","","","0","0"
"74","2.0","7.0","155.8","93","618","0","0"
"75","3.6","12.4","140.2","127","737","41","0"
"76","5.1","18.4","142.2","122","718","36","0"
"77","7.2","26.9","123.2","187","944","35","0"
"78","8.7","33.3","123.2","187","944","35","0"
"79","10.3","39.7","120.5","200","988","36","0"
"80","11.8","46.2","119.7","204","1002","36","0"
"81","13.9","55.0","118.8","209","1018","37","0"
"82","15.4","61.6","116.8","220","1055","37","0"
"83","17.0","68.3","116.8","220","1055","37","0"
"84","18.5","74.9","116.7","220","1057","36","0"
"85","20.1","81.6","116.5","221","1061","37","0"
"86","22.1","90.7","114.9","231","1094","36","0"
"87","23.7","97.4","115.0","230","1092","36","0"
"88","25.2","104.2","115.0","230","1092","36","0"
"89","26.8","110.9","114.4","234","1104","36","0"
"90","28.3","117.7","114.1","236","1110","37","0"
"91","30.4","126.8","114.9","231","1094","35","0"
"92","31.9","133.5","114.9","231","1094","35","0"
"93","33.5","140.2","115.5","227","1081","36","0"
"94","35.0","147.0","114.9","231","1094","37","0"
"95","36.5","153.7","114.7","232","1098","37","0"
"96","38.6","162.8","115.2","229","1087","36","0"
"97","40.2","169.5","116.5","221","1061","37","0"
"98","41.7","176.0","116.5","221","1061","37","0"
"99","43.3","182.7","117.0","219","1052","37","0"
"100","44.8","189.4","115.9","225","1073","36","0"
"101","46.3","196.2","115.0","230","1092","37","0"
"102","48.4","205.4","114.2","235","1108","37","0"
"103","50.0","212.1","114.5","233","1102","38","0"
"104","51.5","218.8","114.5","233","1102","38","0"
"105","53.1","225.6","115.1","230","1089","36","0"
